Gene,Xobs
YDL022W,2.550793
YDL024C,0.02226
YDL025C,0.021155
YDL027C,0.01073
YDL028C,0.015842
YDL029W,1.296101
YDL030W,0.029547
YDL031W,0.394624
YDL033C,0.042034
YDL035C,0.054127
YDL036C,0.092516
YDL037C,0.026299
YDL038C,0.010932
YDL039C,0.126393
YDL040C,0.437599
YDL042C,0.169845
YDL043C,0.086215
YDL044C,0.045058
YDL045C,0.098903
YDL045WA,0.442525
YDL046W,0.611063
YDL047W,0.138346
YDL048C,0.047692
YDL049C,0.023319
YDL051W,0.884466
YDL052C,0.597589
YDL053C,0.352385
YDL054C,0.145021
YDL055C,3.683708
YDL056W,0.036952
YDL057W,0.087504
YDL058W,0.038261
YDL059C,0.033135
YDL060W,0.670094
YDL061C,3.74991
YDL063C,0.105767
YDL064W,0.664148
YDL065C,0.198613
YDL066W,1.253105
YDL067C,1.056987
YDL069C,0.037904
YDL070W,0.062314
YDL072C,1.88832
YDL073W,0.022675
YDL074C,0.07184
YDL075W,19.852337
YDL076C,0.11736
YDL077C,0.049265
YDL078C,0.787549
YDL079C,0.009711
YDL080C,0.053302
YDL081C,18.778403
YDL082W,8.331879
YDL083C,8.731049
YDL084W,1.393093
YDL085W,0.047026
YDL086W,0.490228
YDL087C,0.019403
YDL088C,0.069785
YDL089W,0.030976
YDL090C,0.088695
YDL091C,0.035382
YDL092W,0.307607
YDL093W,0.171059
YDL095W,1.389799
YDL097C,0.652239
YDL098C,0.077514
YDL099W,0.25847
YDL100C,1.620151
YDL101C,0.104414
YDL102W,0.148635
YDL103C,0.450316
YDL104C,0.027954
YDL105W,0.036929
YDL106C,0.049285
YDL107W,0.012895
YDL108W,0.132062
YDL109C,0.031417
YDL110C,0.203418
YDL111C,0.435144
YDL112W,0.31764
YDL113C,0.015692
YDL114W,0.013952
YDL115C,0.099272
YDL116W,0.166987
YDL117W,0.121724
YDL119C,0.017176
YDL120W,0.027879
YDL121C,0.421789
YDL122W,0.488385
YDL123W,0.088417
YDL124W,1.55325
YDL125C,2.595557
YDL126C,2.554333
YDL127W,0.045966
YDL128W,1.365866
YDL129W,0.028726
YDL130W,65.648125
YDL131W,1.329306
YDL132W,0.387812
YDL133W,0.075269
YDL134C,0.18459
YDL135C,0.535992
YDL136W,13.094669
YDL137W,2.529652
YDL138W,0.017922
YDL139C,0.048981
YDL140C,0.493787
YDL141W,0.082019
YDL142C,0.072965
YDL143W,0.898344
YDL144C,0.343113
YDL145C,0.490816
YDL146W,0.009006
YDL147W,0.86663
YDL148C,0.232979
YDL149W,0.006506
YDL150W,0.178371
YDL153C,0.961365
YDL154W,0.015435
YDL155W,0.09603
YDL156W,0.018412
YDL157C,0.806052
YDL159W,0.033691
YDL160C,0.277651
YDL161W,0.258223
YDL164C,0.186545
YDL165W,0.797832
YDL166C,0.650828
YDL167C,0.040022
YDL168W,0.698619
YDL169C,0.035984
YDL170W,0.022492
YDL171C,0.348553
YDL173W,0.500557
YDL174C,0.601789
YDL175C,0.065631
YDL176W,0.006609
YDL177C,0.085822
YDL178W,0.213833
YDL179W,0.047355
YDL180W,0.063272
YDL181W,0.174628
YDL182W,2.816737
YDL183C,0.021313
YDL184C,2.665841
YDL185W,2.288516
YDL186W,0.013303
YDL188C,0.421455
YDL189W,0.13361
YDL190C,0.317648
YDL191W,12.639648
YDL192W,12.608456
YDL193W,0.211812
YDL194W,0.027796
YDL195W,0.907464
YDL197C,0.093078
YDL198C,0.835245
YDL199C,0.009953
YDL200C,0.191738
YDL201W,0.455042
YDL202W,0.14645
YDL203C,0.031531
YDL204W,0.010784
YDL205C,0.043726
YDL206W,0.011263
YDL207W,0.057837
YDL208W,4.336548
YDL209C,0.063839
YDL210W,0.015317
YDL211C,0.017487
YDL212W,1.777376
YDL213C,0.757428
YDL214C,0.006874
YDL215C,0.028836
YDL216C,0.018279
YDL217C,0.050768
YDL218W,0.007932
YDL219W,0.342824
YDL220C,0.023507
YDL222C,0.018939
YDL223C,0.023084
YDL224C,0.068275
YDL225W,0.242968
YDL226C,0.575856
YDL227C,0.17758
YDL229W,47.964631
YDL230W,0.225419
YDL231C,0.008415
YDL232W,1.815726
YDL233W,0.036342
YDL234C,0.089243
YDL235C,0.334514
YDL236W,0.669112
YDL237W,0.354343
YDL238C,0.003046
YDL239C,0.003499
YDL240W,0.005641
YDL241W,0.085548
YDL243C,0.02945
YDL244W,0.077832
YDL245C,0.007929
YDL246C,0.029246
YDL247W,0.003846
YDL248W,0.033612
YDR001C,0.297975
YDR002W,4.042364
YDR003W,0.080062
YDR004W,0.026524
YDR005C,0.088665
YDR006C,0.048922
YDR007W,0.152375
YDR009W,0.031794
YDR011W,0.399531
YDR012W,23.007415
YDR013W,0.044927
YDR014W,0.004523
YDR016C,0.312524
YDR017C,0.050313
YDR018C,0.008932
